date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality,year,month,weekday,weekofyear,is_weekend,rolling_mean_7,rolling_mean_14,rolling_std_7,lag_1,lag_7,lag_14,lag_30,lag_60,price_diff,discount_effect,price_ratio
2022-03-02,S001,P0001,Groceries,South,216,93,120,58.52,15,Snowy,1,58.92,Winter,2022,3,2,9,0,152.28571428571428,158.42857142857142,105.20569421489547,28.0,129.0,373.0,200.0,127.0,-0.3999999999999986,877.8000000000001,0.9932109651712551
2022-03-03,S001,P0001,Toys,South,304,36,44,14.01,0,Snowy,1,12.87,Autumn,2022,3,3,9,0,147.14285714285714,138.42857142857142,107.3909191869104,93.0,177.0,31.0,279.0,81.0,1.1400000000000006,0.0,1.0885772427527252
2022-03-04,S001,P0001,Toys,South,338,284,43,33.06,15,Snowy,0,34.47,Autumn,2022,3,4,9,0,127.0,138.78571428571428,113.88444435772016,36.0,214.0,27.0,38.0,5.0,-1.4099999999999966,495.90000000000003,0.9590945868597079
2022-03-05,S001,P0001,Furniture,East,496,282,167,27.67,10,Sunny,0,28.65,Spring,2022,3,5,9,1,137.0,157.14285714285714,125.29831070954893,284.0,106.0,27.0,71.0,58.0,-0.9799999999999969,276.70000000000005,0.9657937292168486
2022-03-06,S001,P0001,Electronics,South,463,192,54,62.37,10,Cloudy,1,64.64,Winter,2022,3,6,9,1,162.14285714285714,175.35714285714286,135.30019533298113,282.0,68.0,166.0,25.0,147.0,-2.270000000000003,623.6999999999999,0.96488227647242
2022-03-07,S001,P0001,Toys,North,380,348,80,98.99,5,Rainy,0,97.93,Autumn,2022,3,0,10,0,179.85714285714286,177.21428571428572,128.88551582887888,192.0,344.0,337.0,350.0,37.0,1.059999999999988,494.95,1.0108239547815832
2022-03-08,S001,P0001,Clothing,West,394,32,88,95.9,20,Sunny,1,98.49,Winter,2022,3,1,10,0,180.42857142857142,178.0,129.74058365684596,348.0,28.0,191.0,69.0,107.0,-2.589999999999989,1918.0,0.973702815138307
2022-03-09,S001,P0001,Clothing,South,339,26,165,24.92,15,Sunny,0,24.38,Autumn,2022,3,2,10,0,181.0,166.64285714285714,128.96381921557173,32.0,93.0,129.0,62.0,2.0,0.5400000000000027,373.8,1.022148883450007
2022-03-10,S001,P0001,Clothing,East,285,147,184,24.69,10,Snowy,1,20.0,Spring,2022,3,3,10,0,171.42857142857142,159.28571428571428,138.70214747539316,26.0,36.0,177.0,12.0,350.0,4.690000000000001,246.9,1.2344993827503088
2022-03-11,S001,P0001,Groceries,North,348,141,188,46.7,10,Snowy,1,50.28,Summer,2022,3,4,10,0,187.28571428571428,157.14285714285714,126.44196862027825,147.0,284.0,214.0,16.0,36.0,-3.5799999999999983,467.0,0.9287985424028357
2022-03-12,S001,P0001,Electronics,East,210,194,144,91.91,5,Rainy,1,90.84,Autumn,2022,3,5,10,1,166.85714285714286,151.92857142857142,119.57762969640066,141.0,282.0,106.0,237.0,16.0,1.0699999999999932,459.54999999999995,1.0117788406232011
2022-03-13,S001,P0001,Clothing,North,327,95,141,87.0,15,Sunny,0,91.43,Summer,2022,3,6,10,1,154.28571428571428,158.21428571428572,109.67028507563671,194.0,192.0,68.0,203.0,104.0,-4.430000000000007,1305.0,0.9515475279943642
2022-03-14,S001,P0001,Electronics,West,84,74,168,59.11,10,Snowy,0,58.7,Summer,2022,3,0,11,0,140.42857142857142,160.14285714285714,110.23740614821136,95.0,348.0,344.0,29.0,80.0,0.4099999999999966,591.1,1.0069844962547705
